Address,Start votes,Start balance,End votes,End balance,Excluded ,CRE8R Payout,,
0x40fd7b406701e407c85688636318f6315cbc84b3,0,2010.042055,2009.980976,2007.116027,,13.23133293,,
0xce44007a0a90dc201ed420f5b072abf34bd2da51,0,1937.20362,1935.476265,1934.313229,,12.7408822,,
0x887466bd5662f9b1f88d263dc1b32173d0b25b47,1909.469572,1907.828961,1904.739485,1903.486474,,12.53854766,,
0xf54dd676da14ef761e349f57b331d68087d7dccd,0,1891.90675,1889.607264,1889.041022,,12.43893505,,
0x8ce4fe19ac5ea0df14200fadd5450c3cf40cf0d0,0,1805.743582,1805.346466,1803.035816,,11.8842618,,
0x828a97fd8a4eb4262557a42ba60cc23da0008c03,0,1731.98346,1731.452589,1729.4374,,11.39783208,,
0x9a232918d6fbee281885773388f655926d025e51,0,1609.185625,1609.129432,1605.522892,,10.59260137,,
0x8f9276e46036e0a9bb3db46e9bc7e4e3972380b8,0,1607.67952,1605.341107,1605.029407,,10.56766352,,
0x79591ee1aaeafc85b851ce8562ad31ed808fcc0e,0,1583.36053,1581.090158,1578.446712,,10.40802402,,
0x427197b1fb076c110f5d2bae24fb05fed97c0456,0,4539.217599,1543.271565,5067.97204,,10.15907121,,
0xc9830f98c08c56d095c77b49a30c776732e7c9a3,0,1541.628124,1541.541761,1539.155094,,10.14768424,,
0xa7c0e474a9f3207db3f7ed86c994e2c8f144dbb1,0,1532.750338,1531.124863,1530.304677,,10.07911172,,
0xa582353c57ba09d93b08e9c74d978de8a449b7bf,0,1487.843318,1487.758162,1485.417505,,9.793636749,,
0x03a5a1f32c0850974e58b8caa135ab54f9a62588,0,1477.480139,1476.007979,1475.195844,,9.716287473,,
0xe723860dfbe37f263329e36a4a017fbd29113f56,0,0,1455.725421,1377.845717,,9.582771146,,
0x752159b2109bf239e43f3aac85b311e27ec17aae,0,1414.002532,1434.219871,1432.621689,,9.441204089,,
0x3c5aac016ef2f178e8699d6208796a2d67557fe2,1347.76413,1336.079847,1347.76413,1333.901473,,8.872081939,,
0x666ef6654b56885af2351c4c375519d7d8cc87a4,0,1301.985154,1300.880386,1300.042536,,8.563454921,,
0x1ddd0d5e9bdcbf98d3c90e66db3ae499ae617d06,0,1300.928568,1300.399071,1298.987527,,8.560286518,,
0x42d0b355452f6e07dab839b9b4bd548fd5b8f662,0,1422.151313,1277.802881,1415.655989,,8.411539978,,
0xdebadcaa7d794953b91731ee5a3392f83e6a30d5,0,1195.450936,1194.001627,1193.533232,,7.859891823,,
0x2a0bdd6810204fc703499424020c449eab395ab3,0,1186.83709,1185.621623,1184.92293,,7.804727812,,
0x1b52aac4f1e864018badd2cf58e181757f3b1efb,0,0,1180.609449,1180.261623,,7.771733592,,
0xbc722215f8696e02e5557c5848d7fd14d076609c,0,1176.187591,1175.563455,1171.325692,,7.738516753,,
0xac65e5471ad6fa25a6b176397510eccd87af4fcd,0,0,1109.760671,1084.960136,,7.305349194,,
0x30275952c20ae49c75ad4d0e4caa90d8e3278a81,0,1108.980287,1108.865497,1101.144964,,7.299456434,,
0xc3b558a68eed8dfb12748791c123364841d820c5,0,1073.3519,1072.156251,1069.677435,,7.057806254,,
0xc24ddc9c78a354f8e5d4b7c45bf6e8b2ee6ac40c,0,1035.438775,1032.955442,1031.97349,,6.799754585,,
0x107fd55091c267f13fcba945684130566264e0d0,0,984.308457,983.7705559,982.8755946,,6.475979576,,
0xe6abe0c8f8be88726acdd03ec9dfbee28ac2691e,0,973.4564721,972.2498495,972.0183925,,6.400140897,,
0xd36d6c7e44c0c4479dd7e48097fa897e35c5eddb,0,965.1303748,964.9934044,963.6975124,,6.352373061,,
0xb8d86d6db117e21c27636034d3dd8859018daf9c,0,957.2810859,956.6764353,953.6272867,,6.297623992,,
0x015c5fbc1f31ad795e4b264ebb7c71fc647a44ac,0,955.5413337,955.3374239,954.1084713,,6.288809528,,
0x0745597387a49359251630f4612cc060ef9241a4,0,924.9019475,923.7847467,2098.416388,,6.081104091,,
0x353b8c464041f282de4ed94e95c042e9a785b9f8,0,1847.856579,923.4024776,1844.810557,,6.078587685,,
